workerID,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
1,electric kettle,5000,round,5000,5000,500,round,500,0.052631579,0.75,5
1,electric kettle,5000,round,5000,5000,501,sharp,500,0.01754386,0.75,5
1,electric kettle,5000,round,5000,5000,1000,round,1000,0.052631579,0.75,5
1,electric kettle,5000,round,5000,5000,1001,sharp,1000,0.035087719,0.75,5
1,electric kettle,5000,round,5000,5000,5000,round,5000,0.701754386,0.75,5
1,electric kettle,5000,round,5000,5000,5001,sharp,5000,0.052631579,0.75,5
1,electric kettle,5000,round,5000,5000,10000,round,10000,0.01754386,0.75,5
1,electric kettle,5000,round,5000,5000,10001,sharp,10000,0.01754386,0.75,5
1,electric kettle,1000,round,1000,1000,50,round,50,0.018867925,0.225,6
1,electric kettle,1000,round,1000,1000,51,sharp,50,0.037735849,0.225,6
1,electric kettle,1000,round,1000,1000,500,round,500,0.018867925,0.225,6
1,electric kettle,1000,round,1000,1000,501,sharp,500,0.018867925,0.225,6
1,electric kettle,1000,round,1000,1000,1000,round,1000,0.716981132,0.225,6
1,electric kettle,1000,round,1000,1000,1001,sharp,1000,0.037735849,0.225,6
1,electric kettle,1000,round,1000,1000,5000,round,5000,0.037735849,0.225,6
1,electric kettle,1000,round,1000,1000,5001,sharp,5000,0.018867925,0.225,6
1,electric kettle,1000,round,1000,1000,10000,round,10000,0.056603774,0.225,6
1,electric kettle,1000,round,1000,1000,10001,sharp,10000,0.037735849,0.225,6
1,electric kettle,500,round,500,500,50,round,50,0.04,0.25,7
1,electric kettle,500,round,500,500,51,sharp,50,0.02,0.25,7
1,electric kettle,500,round,500,500,500,round,500,0.76,0.25,7
1,electric kettle,500,round,500,500,501,sharp,500,0.02,0.25,7
1,electric kettle,500,round,500,500,1000,round,1000,0.04,0.25,7
1,electric kettle,500,round,500,500,1001,sharp,1000,0.04,0.25,7
1,electric kettle,500,round,500,500,5000,round,5000,0.02,0.25,7
1,electric kettle,500,round,500,500,5001,sharp,5000,0.02,0.25,7
1,electric kettle,500,round,500,500,10000,round,10000,0.02,0.25,7
1,electric kettle,500,round,500,500,10001,sharp,10000,0.02,0.25,7
1,laptop,1000,round,1000,1000,50,round,50,0.055555556,0.5,8
1,laptop,1000,round,1000,1000,51,sharp,50,0.018518519,0.5,8
1,laptop,1000,round,1000,1000,500,round,500,0.037037037,0.5,8
1,laptop,1000,round,1000,1000,501,sharp,500,0.018518519,0.5,8
1,laptop,1000,round,1000,1000,1000,round,1000,0.722222222,0.5,8
1,laptop,1000,round,1000,1000,1001,sharp,1000,0.018518519,0.5,8
1,laptop,1000,round,1000,1000,5000,round,5000,0.037037037,0.5,8
1,laptop,1000,round,1000,1000,5001,sharp,5000,0.037037037,0.5,8
1,laptop,1000,round,1000,1000,10000,round,10000,0.018518519,0.5,8
1,laptop,1000,round,1000,1000,10001,sharp,10000,0.037037037,0.5,8
1,watch,10001,sharp,9998,10000,50,round,50,0.011904762,0.95,9
1,watch,10001,sharp,9998,10000,51,sharp,50,0.023809524,0.95,9
1,watch,10001,sharp,9998,10000,500,round,500,0.011904762,0.95,9
1,watch,10001,sharp,9998,10000,501,sharp,500,0.011904762,0.95,9
1,watch,10001,sharp,9998,10000,1000,round,1000,0.023809524,0.95,9
1,watch,10001,sharp,9998,10000,1001,sharp,1000,0.023809524,0.95,9
1,watch,10001,sharp,9998,10000,5000,round,5000,0.011904762,0.95,9
1,watch,10001,sharp,9998,10000,5001,sharp,5000,0.023809524,0.95,9
1,watch,10001,sharp,9998,10000,10000,round,10000,0.404761905,0.95,9
1,watch,10001,sharp,9998,10000,10001,sharp,10000,0.452380952,0.95,9
1,watch,5000,round,5000,5000,50,round,50,0.023255814,0.75,10
1,watch,5000,round,5000,5000,51,sharp,50,0.023255814,0.75,10
1,watch,5000,round,5000,5000,500,round,500,0.023255814,0.75,10
1,watch,5000,round,5000,5000,501,sharp,500,0.023255814,0.75,10
1,watch,5000,round,5000,5000,1000,round,1000,0.011627907,0.75,10
1,watch,5000,round,5000,5000,1001,sharp,1000,0.011627907,0.75,10
1,watch,5000,round,5000,5000,5000,round,5000,0.453488372,0.75,10
1,watch,5000,round,5000,5000,5001,sharp,5000,0.406976744,0.75,10
1,watch,5000,round,5000,5000,10000,round,10000,0,0.75,10
1,watch,5000,round,5000,5000,10001,sharp,10000,0.023255814,0.75,10
1,electric kettle,51,sharp,51,50,50,round,50,0.413793103,0.025,11
1,electric kettle,51,sharp,51,50,51,sharp,50,0.448275862,0.025,11
1,electric kettle,51,sharp,51,50,500,round,500,0.022988506,0.025,11
1,electric kettle,51,sharp,51,50,501,sharp,500,0.022988506,0.025,11
1,electric kettle,51,sharp,51,50,1000,round,1000,0.011494253,0.025,11
1,electric kettle,51,sharp,51,50,1001,sharp,1000,0.022988506,0.025,11
1,electric kettle,51,sharp,51,50,5000,round,5000,0.022988506,0.025,11
1,electric kettle,51,sharp,51,50,5001,sharp,5000,0.011494253,0.025,11
1,electric kettle,51,sharp,51,50,10000,round,10000,0.011494253,0.025,11
1,electric kettle,51,sharp,51,50,10001,sharp,10000,0.011494253,0.025,11
1,laptop,501,sharp,499,500,50,round,50,0.011627907,0.25,12
1,laptop,501,sharp,499,500,51,sharp,50,0.023255814,0.25,12
1,laptop,501,sharp,499,500,500,round,500,0.418604651,0.25,12
1,laptop,501,sharp,499,500,501,sharp,500,0.453488372,0.25,12
1,laptop,501,sharp,499,500,1000,round,1000,0.011627907,0.25,12
1,laptop,501,sharp,499,500,1001,sharp,1000,0.011627907,0.25,12
1,laptop,501,sharp,499,500,5000,round,5000,0.011627907,0.25,12
1,laptop,501,sharp,499,500,5001,sharp,5000,0.023255814,0.25,12
1,laptop,501,sharp,499,500,10000,round,10000,0.023255814,0.25,12
1,laptop,501,sharp,499,500,10001,sharp,10000,0.011627907,0.25,12
1,watch,50,round,50,50,50,round,50,0.433333333,0.25,13
