workerID,domain,utteranceExact,utteranceRounded,utteranceType,stateExact,stateRounded,stateType,affectProb,order
5, laptop,1000,1000,round,1000,1000,round,0.15,13
5, laptop,50,50,round,50,50,round,0,14
5, electric kettle,10002,10000,sharp,999,1000,sharp,0.9,15
5, laptop,5001,5000,sharp,497,500,sharp,0.825,16
5, watch,1000,1000,round,50,50,round,0.775,17
5, electric kettle,9997,10000,sharp,1000,1000,round,0.85,18
5, laptop,10000,10000,round,998,1000,sharp,0.875,19
5, laptop,10000,10000,round,10000,10000,round,0.25,20
5, watch,10001,10000,sharp,1000,1000,round,0.95,21
5, watch,4999,5000,sharp,50,50,round,0.85,22
5, laptop,9999,10000,sharp,998,1000,sharp,0.825,23
5, laptop,9997,10000,sharp,1000,1000,round,0.875,24
5, watch,9997,10000,sharp,10000,10000,round,0,25
5, laptop,998,1000,sharp,998,1000,sharp,0.125,26
5, laptop,500,500,round,49,50,sharp,0.875,27
5, electric kettle,5000,5000,round,5000,5000,round,0.15,28
5, watch,500,500,round,498,500,sharp,0.25,29
5, laptop,498,500,sharp,500,500,round,0,30
6, electric kettle,9998,10000,sharp,998,1000,sharp,1,1
6, watch,9998,10000,sharp,1000,1000,round,0.9,2
6, laptop,10002,10000,sharp,52,50,sharp,0.125,3
6, electric kettle,4998,5000,sharp,500,500,round,0.85,4
6, electric kettle,5000,5000,round,50,50,round,0.35,5
6, laptop,10000,10000,round,4998,5000,sharp,0.925,6
6, laptop,10002,10000,sharp,10002,10000,sharp,1,7
6, electric kettle,50,50,round,52,50,sharp,0.1,8
6, watch,4999,5000,sharp,498,500,sharp,0.75,9
6, electric kettle,501,500,sharp,50,50,round,0.6,10
6, watch,9998,10000,sharp,5000,5000,round,0.9,11
6, laptop,5003,5000,sharp,997,1000,sharp,0.725,12
6, electric kettle,1003,1000,sharp,1000,1000,round,0.8,13
6, electric kettle,10000,10000,round,1002,1000,sharp,0.925,14
6, laptop,10000,10000,round,500,500,round,0.675,15
6, laptop,5000,5000,round,1003,1000,sharp,0.825,16
6, watch,4998,5000,sharp,1001,1000,sharp,0.7,17
6, watch,10003,10000,sharp,50,50,round,0.2,18
6, electric kettle,10000,10000,round,10000,10000,round,1,19
6, electric kettle,5000,5000,round,51,50,sharp,0.225,20
6, laptop,500,500,round,52,50,sharp,0.15,21
6, electric kettle,5000,5000,round,5001,5000,sharp,0.925,22
6, laptop,503,500,sharp,50,50,round,0.075,23
6, laptop,10000,10000,round,5000,5000,round,0.975,24
6, laptop,1002,1000,sharp,52,50,sharp,0.15,25
6, laptop,500,500,round,500,500,round,0.5,26
6, laptop,9998,10000,sharp,5000,5000,round,0.925,27
6, laptop,1000,1000,round,998,1000,sharp,0.7,28
6, electric kettle,9998,10000,sharp,1000,1000,round,0.85,29
6, laptop,52,50,sharp,50,50,round,0.05,30
7, watch,5000,5000,round,502,500,sharp,0.25,1
7, watch,1000,1000,round,48,50,sharp,0.15,2
7, electric kettle,1000,1000,round,48,50,sharp,0.175,3
7, electric kettle,500,500,round,501,500,sharp,0.55,4
7, watch,10000,10000,round,499,500,sharp,0.2,5
7, watch,10002,10000,sharp,48,50,sharp,0.2,6
7, watch,10000,10000,round,500,500,round,0.425,7
7, electric kettle,5002,5000,sharp,1002,1000,sharp,0.55,8
7, electric kettle,9998,10000,sharp,5000,5000,round,0.575,9
7, electric kettle,500,500,round,47,50,sharp,0.2,10
7, laptop,53,50,sharp,50,50,round,0.575,11
7, electric kettle,1000,1000,round,499,500,sharp,0.375,12
7, laptop,10002,10000,sharp,50,50,round,0.125,13
7, laptop,10000,10000,round,1000,1000,round,0.3,14
7, laptop,1000,1000,round,50,50,round,0.2,15
7, electric kettle,5000,5000,round,1003,1000,sharp,0.225,16
7, watch,10000,10000,round,10001,10000,sharp,0.625,17
7, laptop,10003,10000,sharp,5001,5000,sharp,0.4,18
7, watch,10000,10000,round,10000,10000,round,0.7,19
7, electric kettle,5000,5000,round,50,50,round,0.175,20
7, watch,5002,5000,sharp,998,1000,sharp,0.375,21
7, electric kettle,10000,10000,round,52,50,sharp,0.15,22
7, watch,5000,5000,round,1000,1000,round,0.275,23
7, watch,4998,5000,sharp,5000,5000,round,0.425,24
7, watch,47,50,sharp,47,50,sharp,0.275,25
7, laptop,500,500,round,500,500,round,0.375,26
7, watch,47,50,sharp,50,50,round,0.225,27
7, electric kettle,50,50,round,50,50,round,0.15,28
7, watch,5000,5000,round,50,50,round,0.225,29
7, laptop,9997,10000,sharp,1000,1000,round,0.25,30
8, electric kettle,502,500,sharp,500,500,round,0.75,1
8, electric kettle,5002,5000,sharp,501,500,sharp,1,2
8, electric kettle,10002,10000,sharp,10002,10000,sharp,1,3
8, electric kettle,10000,10000,round,500,500,round,1,4
8, laptop,10000,10000,round,53,50,sharp,0.75,5
8, laptop,5000,5000,round,501,500,sharp,0.975,6
8, watch,53,50,sharp,50,50,round,0.25,7
8, watch,4999,5000,sharp,500,500,round,1,8
8, watch,9999,10000,sharp,500,500,round,0.975,9
8, electric kettle,51,50,sharp,51,50,sharp,0.275,10
8, electric kettle,5000,5000,round,500,500,round,0.975,11
8, watch,500,500,round,50,50,round,1,12
8, electric kettle,9997,10000,sharp,500,500,round,1,13
8, laptop,5003,5000,sharp,5003,5000,sharp,0.5,14
8, watch,501,500,sharp,51,50,sharp,0.75,15
8, watch,498,500,sharp,50,50,round,0.725,16
8, watch,5001,5000,sharp,5001,5000,sharp,0.5,17
8, laptop,4997,5000,sharp,1000,1000,round,0.725,18
8, watch,10001,10000,sharp,50,50,round,0.975,19
8, laptop,10000,10000,round,503,500,sharp,1,20
8, electric kettle,10000,10000,round,999,1000,sharp,0.25,21
8, watch,1003,1000,sharp,500,500,round,0.75,22
8, watch,10000,10000,round,5000,5000,round,1,23
8, electric kettle,500,500,round,51,50,sharp,0.75,24
8, laptop,10003,10000,sharp,52,50,sharp,0.975,25
8, electric kettle,5002,5000,sharp,5002,5000,sharp,0.5,26
8, electric kettle,9998,10000,sharp,4998,5000,sharp,0.975,27
8, electric kettle,10000,10000,round,50,50,round,0.975,28
8, laptop,4999,5000,sharp,498,500,sharp,1,29
8, electric kettle,1000,1000,round,50,50,round,1,30
9, watch,10000,10000,round,5002,5000,sharp,0.275,1
9, watch,4997,5000,sharp,499,500,sharp,0.275,2
9, laptop,10002,10000,sharp,503,500,sharp,0.225,3
9, laptop,497,500,sharp,48,50,sharp,0.75,4
9, laptop,10000,10000,round,53,50,sharp,0.25,5
9, electric kettle,9998,10000,sharp,10000,10000,round,0.975,6
9, electric kettle,5000,5000,round,5000,5000,round,0.5,7
9, electric kettle,998,1000,sharp,498,500,sharp,0.725,8
9, laptop,50,50,round,50,50,round,0.5,9
9, laptop,10000,10000,round,10000,10000,round,0.5,10
9, watch,4999,5000,sharp,1000,1000,round,0.25,11
9, laptop,5000,5000,round,499,500,sharp,0.225,12
9, electric kettle,4998,5000,sharp,4998,5000,sharp,0.55,13
9, electric kettle,998,1000,sharp,998,1000,sharp,0.55,14
9, electric kettle,9999,10000,sharp,1001,1000,sharp,0.375,15
9, laptop,10000,10000,round,500,500,round,0.2,16
9, electric kettle,501,500,sharp,500,500,round,0.65,17
9, electric kettle,5000,5000,round,497,500,sharp,0.325,18
9, laptop,4999,5000,sharp,500,500,round,0.325,19
9, laptop,5000,5000,round,500,500,round,0.25,20
9, electric kettle,997,1000,sharp,500,500,round,0.375,21
9, electric kettle,9999,10000,sharp,53,50,sharp,0.55,22
9, electric kettle,1000,1000,round,998,1000,sharp,0.6,23
9, electric kettle,48,50,sharp,50,50,round,0.55,24
9, watch,5000,5000,round,48,50,sharp,0.35,25
9, watch,999,1000,sharp,999,1000,sharp,0.5,26
9, laptop,4997,5000,sharp,1002,1000,sharp,0.45,27
9, watch,50,50,round,49,50,sharp,0.525,28
9, laptop,9999,10000,sharp,500,500,round,0.325,29
9, watch,5000,5000,round,4998,5000,sharp,0.475,30
10, electric kettle,500,500,round,53,50,sharp,0.75,1
10, electric kettle,1000,1000,round,49,50,sharp,0.75,2
10, watch,10002,10000,sharp,1000,1000,round,0.25,3
10, watch,50,50,round,51,50,sharp,0.25,4
10, watch,10000,10000,round,1000,1000,round,0.25,5
10, electric kettle,4999,5000,sharp,4999,5000,sharp,0.975,6
10, laptop,10000,10000,round,5000,5000,round,1,7
10, laptop,999,1000,sharp,51,50,sharp,0,8
10, watch,5000,5000,round,50,50,round,0.25,9
10, laptop,10000,10000,round,1000,1000,round,0.25,10
10, watch,4997,5000,sharp,50,50,round,0.25,11
10, electric kettle,49,50,sharp,49,50,sharp,0.5,12
10, electric kettle,5002,5000,sharp,50,50,round,0.25,13
10, electric kettle,5000,5000,round,500,500,round,1,14
10, laptop,1000,1000,round,500,500,round,0.25,15
10, electric kettle,10000,10000,round,5003,5000,sharp,0.025,16
10, electric kettle,998,1000,sharp,500,500,round,1,17
10, watch,10000,10000,round,10002,10000,sharp,1,18
10, laptop,10000,10000,round,999,1000,sharp,0.5,19
10, electric kettle,10000,10000,round,1000,1000,round,0,20
10, electric kettle,10003,10000,sharp,499,500,sharp,1,21
10, watch,5000,5000,round,47,50,sharp,0.25,22
10, laptop,9998,10000,sharp,5000,5000,round,0.975,23
10, watch,500,500,round,50,50,round,0.25,24
10, electric kettle,501,500,sharp,50,50,round,0.5,25
10, watch,10000,10000,round,53,50,sharp,0.25,26
10, watch,5000,5000,round,998,1000,sharp,0.75,27
10, electric kettle,10000,10000,round,500,500,round,1,28
10, watch,10000,10000,round,50,50,round,0.275,29
10, laptop,53,50,sharp,50,50,round,0.025,30
11, laptop,1003,1000,sharp,50,50,round,0.8,1
11, electric kettle,10000,10000,round,9998,10000,sharp,0.975,2
11, electric kettle,9998,10000,sharp,5000,5000,round,0.975,3
11, watch,10000,10000,round,998,1000,sharp,1,4
11, laptop,10001,10000,sharp,500,500,round,0.975,5
11, watch,50,50,round,50,50,round,0.275,6
11, laptop,500,500,round,500,500,round,0.25,7
11, electric kettle,5000,5000,round,5000,5000,round,0.45,8
11, watch,999,1000,sharp,47,50,sharp,0.85,9
11, watch,52,50,sharp,50,50,round,0.5,10
11, electric kettle,1000,1000,round,1001,1000,sharp,0.4,11
11, watch,10002,10000,sharp,10002,10000,sharp,0.55,12
11, laptop,50,50,round,48,50,sharp,0.225,13
11, watch,5000,5000,round,50,50,round,0.575,14
11, electric kettle,10000,10000,round,50,50,round,0.925,15
11, laptop,9999,10000,sharp,9999,10000,sharp,0.65,16
11, laptop,4998,5000,sharp,5000,5000,round,0.6,17
11, watch,4999,5000,sharp,53,50,sharp,0.825,18
11, laptop,5000,5000,round,50,50,round,0.85,19
11, laptop,500,500,round,503,500,sharp,0.25,20
11, electric kettle,47,50,sharp,50,50,round,0.075,21
11, laptop,10000,10000,round,9998,10000,sharp,0.725,22
11, watch,50,50,round,49,50,sharp,0.5,23
11, electric kettle,5002,5000,sharp,503,500,sharp,0.775,24
11, electric kettle,1000,1000,round,50,50,round,0.775,25
11, watch,10000,10000,round,10000,10000,round,0.65,26
11, watch,10000,10000,round,499,500,sharp,0.825,27
11, electric kettle,503,500,sharp,50,50,round,0.825,28
11, laptop,50,50,round,50,50,round,0.25,29
11, watch,4999,5000,sharp,998,1000,sharp,0.775,30
12, electric kettle,500,500,round,503,500,sharp,0.725,1
12, watch,9997,10000,sharp,5000,5000,round,0.4,2
12, watch,1001,1000,sharp,500,500,round,0.45,3
12, electric kettle,501,500,sharp,47,50,sharp,0.15,4
12, electric kettle,5000,5000,round,501,500,sharp,0.375,5
12, electric kettle,53,50,sharp,50,50,round,0.45,6
12, watch,4998,5000,sharp,50,50,round,0.15,7
12, laptop,500,500,round,500,500,round,0.5,8
12, electric kettle,10000,10000,round,501,500,sharp,0.225,9
12, laptop,1000,1000,round,1000,1000,round,0.5,10
12, laptop,9998,10000,sharp,498,500,sharp,0.125,11
12, watch,5000,5000,round,51,50,sharp,0.025,12
12, laptop,50,50,round,50,50,round,0.5,13
12, watch,50,50,round,50,50,round,0.5,14
12, watch,10000,10000,round,5000,5000,round,0.15,15
12, laptop,4997,5000,sharp,1000,1000,round,0.2,16
12, laptop,10000,10000,round,503,500,sharp,0.05,17
12, laptop,5003,5000,sharp,47,50,sharp,0,18
12, electric kettle,10000,10000,round,1000,1000,round,0.05,19
12, watch,1000,1000,round,50,50,round,0.05,20
12, electric kettle,5003,5000,sharp,1003,1000,sharp,0.1,21
12, laptop,48,50,sharp,50,50,round,0,22
12, watch,4997,5000,sharp,5000,5000,round,0.025,23
12, watch,9997,10000,sharp,5001,5000,sharp,0.25,24
12, watch,10000,10000,round,498,500,sharp,0.025,25
12, watch,4999,5000,sharp,497,500,sharp,0.075,26
12, watch,10000,10000,round,1000,1000,round,0.025,27
12, electric kettle,50,50,round,50,50,round,0.5,28
12, electric kettle,10003,10000,sharp,1001,1000,sharp,0.225,29
12, watch,501,500,sharp,51,50,sharp,0.25,30
13, laptop,1000,1000,round,998,1000,sharp,1,1
13, laptop,499,500,sharp,53,50,sharp,0.5,2
13, electric kettle,4998,5000,sharp,50,50,round,0.25,3
13, electric kettle,1000,1000,round,50,50,round,0.75,4
13, watch,1003,1000,sharp,1003,1000,sharp,0.25,5
13, laptop,5000,5000,round,1000,1000,round,0.975,6
13, electric kettle,5003,5000,sharp,1002,1000,sharp,0.975,7
13, watch,50,50,round,52,50,sharp,0.275,8
13, watch,9998,10000,sharp,10000,10000,round,0.25,9
13, laptop,10000,10000,round,50,50,round,0.75,10
13, electric kettle,1002,1000,sharp,1002,1000,sharp,0.5,11
13, watch,5000,5000,round,1000,1000,round,0.75,12
13, electric kettle,10002,10000,sharp,47,50,sharp,1,13
13, laptop,998,1000,sharp,502,500,sharp,0.25,14
13, watch,9998,10000,sharp,53,50,sharp,0.025,15
13, laptop,10000,10000,round,997,1000,sharp,0.75,16
13, laptop,10000,10000,round,503,500,sharp,0.025,17
13, laptop,998,1000,sharp,53,50,sharp,0,18
13, laptop,1002,1000,sharp,500,500,round,0.25,19
13, electric kettle,500,500,round,49,50,sharp,1,20
13, electric kettle,1000,1000,round,1002,1000,sharp,0.5,21
13, watch,501,500,sharp,501,500,sharp,0.5,22
13, watch,10000,10000,round,10000,10000,round,0.5,23
13, electric kettle,499,500,sharp,47,50,sharp,1,24
13, watch,500,500,round,50,50,round,1,25
13, electric kettle,10000,10000,round,1000,1000,round,1,26
13, electric kettle,52,50,sharp,52,50,sharp,0.5,27
13, watch,10001,10000,sharp,1000,1000,round,1,28
13, electric kettle,5000,5000,round,50,50,round,1,29
13, laptop,10000,10000,round,500,500,round,1,30
14, watch,503,500,sharp,50,50,round,0.75,1
14, laptop,5000,5000,round,50,50,round,0.975,2
14, watch,502,500,sharp,500,500,round,0.8,3
14, electric kettle,9998,10000,sharp,53,50,sharp,1,4
14, electric kettle,5000,5000,round,5000,5000,round,1,5
14, watch,999,1000,sharp,52,50,sharp,0.1,6
14, watch,10002,10000,sharp,50,50,round,0.025,7
14, electric kettle,1000,1000,round,49,50,sharp,0.075,8
14, electric kettle,9998,10000,sharp,50,50,round,0.25,9
14, watch,50,50,round,50,50,round,0.5,10
14, electric kettle,5000,5000,round,500,500,round,0.15,11
14, electric kettle,5000,5000,round,1000,1000,round,0.625,12
14, electric kettle,10003,10000,sharp,1000,1000,round,0.375,13
14, watch,997,1000,sharp,1000,1000,round,0.5,14
14, watch,4997,5000,sharp,1003,1000,sharp,0.625,15
14, laptop,5000,5000,round,5003,5000,sharp,0.625,16
14, laptop,5000,5000,round,49,50,sharp,0.025,17
14, watch,47,50,sharp,47,50,sharp,0.5,18
14, laptop,503,500,sharp,50,50,round,0.3,19
14, electric kettle,48,50,sharp,50,50,round,0.45,20
14, laptop,1000,1000,round,50,50,round,0.2,21
14, laptop,10003,10000,sharp,502,500,sharp,0.175,22
14, electric kettle,1002,1000,sharp,1002,1000,sharp,0.5,23
14, laptop,9998,10000,sharp,50,50,round,0.075,24
14, watch,500,500,round,50,50,round,0.25,25
14, electric kettle,4999,5000,sharp,50,50,round,0.125,26
14, laptop,9998,10000,sharp,9998,10000,sharp,0.5,27
14, electric kettle,500,500,round,501,500,sharp,0.45,28
14, watch,1003,1000,sharp,1003,1000,sharp,0.5,29
14, laptop,498,500,sharp,498,500,sharp,0.525,30
15, electric kettle,9999,10000,sharp,499,500,sharp,1,1
15, electric kettle,501,500,sharp,48,50,sharp,0.9,2
15, electric kettle,999,1000,sharp,500,500,round,0.925,3
15, watch,1001,1000,sharp,500,500,round,1,4
15, electric kettle,500,500,round,497,500,sharp,0.5,5
15, laptop,500,500,round,50,50,round,0.475,6
15, watch,10002,10000,sharp,5000,5000,round,0.85,7
15, laptop,5001,5000,sharp,51,50,sharp,0.675,8
15, laptop,10000,10000,round,4998,5000,sharp,0.9,9
15, watch,9997,10000,sharp,50,50,round,1,10
15, electric kettle,5000,5000,round,1000,1000,round,1,11
15, electric kettle,49,50,sharp,50,50,round,0.5,12
15, watch,998,1000,sharp,50,50,round,0.7,13
15, electric kettle,10000,10000,round,9997,10000,sharp,0.95,14
15, electric kettle,1003,1000,sharp,502,500,sharp,0.95,15
15, watch,9997,10000,sharp,47,50,sharp,0.95,16
15, electric kettle,9999,10000,sharp,51,50,sharp,0.85,17
15, watch,50,50,round,51,50,sharp,0.45,18
15, electric kettle,10000,10000,round,4997,5000,sharp,0.85,19
15, watch,5000,5000,round,5002,5000,sharp,0.5,20
15, watch,10000,10000,round,502,500,sharp,0.5,21
15, laptop,9997,10000,sharp,497,500,sharp,1,22
15, electric kettle,5002,5000,sharp,5002,5000,sharp,0.5,23
15, laptop,10000,10000,round,500,500,round,1,24
15, laptop,10000,10000,round,10000,10000,round,0.5,25
15, electric kettle,4997,5000,sharp,50,50,round,0.925,26
15, watch,5000,5000,round,5000,5000,round,0.425,27
15, laptop,5000,5000,round,50,50,round,0.65,28
15, watch,5001,5000,sharp,5000,5000,round,0.55,29
15, electric kettle,499,500,sharp,50,50,round,0.7,30
16, watch,1002,1000,sharp,53,50,sharp,0.3,1
16, laptop,10000,10000,round,10000,10000,round,0.175,2
16, watch,5000,5000,round,50,50,round,0.025,3
16, electric kettle,52,50,sharp,52,50,sharp,0.25,4
16, electric kettle,500,500,round,502,500,sharp,0.2,5
16, laptop,500,500,round,498,500,sharp,0.65,6
16, electric kettle,1000,1000,round,1002,1000,sharp,0.35,7
16, electric kettle,4998,5000,sharp,1000,1000,round,0,8
16, laptop,500,500,round,500,500,round,0.225,9
16, electric kettle,501,500,sharp,50,50,round,0.05,10
16, watch,1000,1000,round,500,500,round,0.025,11
16, watch,48,50,sharp,50,50,round,0.625,12
16, laptop,9997,10000,sharp,5000,5000,round,0,13
16, watch,500,500,round,50,50,round,0,14
16, watch,1000,1000,round,50,50,round,0.05,15
16, laptop,5000,5000,round,501,500,sharp,0,16
16, electric kettle,10000,10000,round,10000,10000,round,0.275,17
16, electric kettle,1001,1000,sharp,50,50,round,0.025,18
16, watch,10000,10000,round,10000,10000,round,0.3,19
16, electric kettle,997,1000,sharp,1000,1000,round,0.675,20
16, watch,998,1000,sharp,500,500,round,0,21
16, watch,5000,5000,round,998,1000,sharp,0.05,22
16, laptop,997,1000,sharp,500,500,round,0.025,23
16, electric kettle,9999,10000,sharp,50,50,round,0,24
16, laptop,10000,10000,round,47,50,sharp,0.025,25
16, electric kettle,500,500,round,50,50,round,0.025,26
16, laptop,1000,1000,round,47,50,sharp,0.025,27
16, watch,10000,10000,round,500,500,round,0.05,28
16, watch,10000,10000,round,50,50,round,0.05,29
16, watch,10000,10000,round,499,500,sharp,0.075,30
17, laptop,10000,10000,round,1000,1000,round,0.55,1
17, watch,999,1000,sharp,500,500,round,0.65,2
17, laptop,9999,10000,sharp,50,50,round,0.725,3
17, watch,5002,5000,sharp,50,50,round,0.625,4
17, watch,1000,1000,round,50,50,round,0.5,5
17, laptop,500,500,round,498,500,sharp,0.5,6
17, electric kettle,1000,1000,round,50,50,round,0.35,7
17, laptop,10000,10000,round,10000,10000,round,0.775,8
17, watch,1000,1000,round,49,50,sharp,0.475,9
