participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
1,watch,10001,sharp,9998,10000,5001,sharp,5000,0.05,0.95,9
1,watch,10001,sharp,9998,10000,10000,round,10000,0.85,0.95,9
1,watch,10001,sharp,9998,10000,10001,sharp,10000,0.95,0.95,9
1,watch,5000,round,5000,5000,50,round,50,0.05,0.75,10
1,watch,5000,round,5000,5000,51,sharp,50,0.05,0.75,10
1,watch,5000,round,5000,5000,500,round,500,0.05,0.75,10
1,watch,5000,round,5000,5000,501,sharp,500,0.05,0.75,10
1,watch,5000,round,5000,5000,1000,round,1000,0.025,0.75,10
1,watch,5000,round,5000,5000,1001,sharp,1000,0.025,0.75,10
1,watch,5000,round,5000,5000,5000,round,5000,0.975,0.75,10
1,watch,5000,round,5000,5000,5001,sharp,5000,0.875,0.75,10
1,watch,5000,round,5000,5000,10000,round,10000,0,0.75,10
1,watch,5000,round,5000,5000,10001,sharp,10000,0.05,0.75,10
1,electric kettle,51,sharp,51,50,50,round,50,0.9,0.025,11
1,electric kettle,51,sharp,51,50,51,sharp,50,0.975,0.025,11
1,electric kettle,51,sharp,51,50,500,round,500,0.05,0.025,11
1,electric kettle,51,sharp,51,50,501,sharp,500,0.05,0.025,11
1,electric kettle,51,sharp,51,50,1000,round,1000,0.025,0.025,11
1,electric kettle,51,sharp,51,50,1001,sharp,1000,0.05,0.025,11
1,electric kettle,51,sharp,51,50,5000,round,5000,0.05,0.025,11
1,electric kettle,51,sharp,51,50,5001,sharp,5000,0.025,0.025,11
1,electric kettle,51,sharp,51,50,10000,round,10000,0.025,0.025,11
1,electric kettle,51,sharp,51,50,10001,sharp,10000,0.025,0.025,11
1,laptop,501,sharp,499,500,50,round,50,0.025,0.25,12
1,laptop,501,sharp,499,500,51,sharp,50,0.05,0.25,12
1,laptop,501,sharp,499,500,500,round,500,0.9,0.25,12
1,laptop,501,sharp,499,500,501,sharp,500,0.975,0.25,12
1,laptop,501,sharp,499,500,1000,round,1000,0.025,0.25,12
1,laptop,501,sharp,499,500,1001,sharp,1000,0.025,0.25,12
1,laptop,501,sharp,499,500,5000,round,5000,0.025,0.25,12
1,laptop,501,sharp,499,500,5001,sharp,5000,0.05,0.25,12
1,laptop,501,sharp,499,500,10000,round,10000,0.05,0.25,12
1,laptop,501,sharp,499,500,10001,sharp,10000,0.025,0.25,12
1,watch,50,round,50,50,50,round,50,0.975,0.25,13
1,watch,50,round,50,50,51,sharp,50,0.925,0.25,13
1,watch,50,round,50,50,500,round,500,0.025,0.25,13
1,watch,50,round,50,50,501,sharp,500,0.05,0.25,13
1,watch,50,round,50,50,1000,round,1000,0.025,0.25,13
1,watch,50,round,50,50,1001,sharp,1000,0.05,0.25,13
1,watch,50,round,50,50,5000,round,5000,0.05,0.25,13
1,watch,50,round,50,50,5001,sharp,5000,0.05,0.25,13
1,watch,50,round,50,50,10000,round,10000,0.05,0.25,13
1,watch,50,round,50,50,10001,sharp,10000,0.05,0.25,13
1,electric kettle,10001,sharp,10002,10000,50,round,50,0.05,0.975,14
1,electric kettle,10001,sharp,10002,10000,51,sharp,50,0.025,0.975,14
1,electric kettle,10001,sharp,10002,10000,500,round,500,0.05,0.975,14
1,electric kettle,10001,sharp,10002,10000,501,sharp,500,0.025,0.975,14
1,electric kettle,10001,sharp,10002,10000,1000,round,1000,0.05,0.975,14
1,electric kettle,10001,sharp,10002,10000,1001,sharp,1000,0.025,0.975,14
1,electric kettle,10001,sharp,10002,10000,5000,round,5000,0,0.975,14
1,electric kettle,10001,sharp,10002,10000,5001,sharp,5000,0.05,0.975,14
1,electric kettle,10001,sharp,10002,10000,10000,round,10000,0.925,0.975,14
1,electric kettle,10001,sharp,10002,10000,10001,sharp,10000,0.975,0.975,14
1,laptop,500,round,500,500,50,round,50,0.05,0.5,15
1,laptop,500,round,500,500,51,sharp,50,0.025,0.5,15
1,laptop,500,round,500,500,500,round,500,0.975,0.5,15
1,laptop,500,round,500,500,501,sharp,500,0.925,0.5,15
1,laptop,500,round,500,500,1000,round,1000,0.025,0.5,15
1,laptop,500,round,500,500,1001,sharp,1000,0.025,0.5,15
1,laptop,500,round,500,500,5000,round,5000,0,0.5,15
1,laptop,500,round,500,500,5001,sharp,5000,0.025,0.5,15
1,laptop,500,round,500,500,10000,round,10000,0.025,0.5,15
1,laptop,500,round,500,500,10001,sharp,10000,0.025,0.5,15
2,laptop,1000,round,1000,1000,50,round,50,0,0.325,1
2,laptop,1000,round,1000,1000,51,sharp,50,0,0.325,1
2,laptop,1000,round,1000,1000,500,round,500,0.775,0.325,1
2,laptop,1000,round,1000,1000,501,sharp,500,0.95,0.325,1
2,laptop,1000,round,1000,1000,1000,round,1000,0.325,0.325,1
2,laptop,1000,round,1000,1000,1001,sharp,1000,0.25,0.325,1
2,laptop,1000,round,1000,1000,5000,round,5000,0,0.325,1
2,laptop,1000,round,1000,1000,5001,sharp,5000,0.375,0.325,1
2,laptop,1000,round,1000,1000,10000,round,10000,0.05,0.325,1
2,laptop,1000,round,1000,1000,10001,sharp,10000,0.075,0.325,1
2,electric kettle,501,sharp,503,500,50,round,50,0.7,0,2
2,electric kettle,501,sharp,503,500,51,sharp,50,0.6,0,2
2,electric kettle,501,sharp,503,500,500,round,500,0.025,0,2
