"","punType","sentenceID","sentenceType","sum_m1_ngram","sum_m2_ngram","sum_m1_relatedness","sum_m2_relatedness","p_m1_given_w","p_m2_given_w","entropy","m1KL","m2KL","m1Focus","m2Focus","age","gender","condition","funniness","workerID.anonym","uniqueID","KL"
"23","identical","2","pun",-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,"pi;circumference","circumference;large",35,"F",8,2.109168992,"89","2 identical",6.56547365542
"24","identical","2","pun",-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,"pi;circumference","circumference;large",35,"F",8,2.281766952,"90","2 identical",6.56547365542
"25","identical","2","pun",-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,"pi;circumference","circumference;large",25,"M",8,2.031966075,"91","2 identical",6.56547365542
"26","identical","2","pun",-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,"pi;circumference","circumference;large",55,"F",8,2.422692719,"92","2 identical",6.56547365542
"27","identical","2","pun",-48.1642020516,-44.5054206287,13.381782822,1.181660829,0.999845946446,0.000154053553758,0.00150635617376,0.72575451536,5.83971914006,"pi;circumference","circumference;large",65,"F",8,2.400315852,"93","2 identical",6.56547365542
"28","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",25,"F",1,-0.206880383,"1","3 identical",9.02405806693
"29","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",25,"M",1,1.824968601,"2","3 identical",9.02405806693
"30","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",65,"M",1,-0.130188911,"3","3 identical",9.02405806693
"31","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",65,"F",1,1.918533004,"4","3 identical",9.02405806693
"32","identical","3","pun",-80.7211367315,-70.5440892878,15.29803952,0.055563493,0.105953912898,0.894046087102,0.3379714908,1.87374398462,7.15031408231,"knead;bakers;bread;recipes","basis;trade",35,"F",1,1.392980738,"5","3 identical",9.02405806693
